unit,word,definition,source,flag
10,interdependent,[adj] Mutually dependent; reliant on one another,Datamuse 조회,
10,interchange,[v] to mutually give and receive (something); to exchange; [v] to switch (each of two things),Datamuse 조회,
10,underlie,[v] To serve as a basis of; form the foundation of; [v] To lie under or beneath,Datamuse 조회,
10,underestimate,"[v] To estimate too low; to perceive (someone or something) as having a lower value, quantity, worth, etc., than what he/she/it actually...; [v] To perceive or expect (someone or something) to be less significant or difficult than it actually is",Datamuse 조회,
10,undergo,[v] To experience; to pass through a phase; [v] To suffer or endure; bear with,Datamuse 조회,
10,subconscious,[adj] Partially conscious; [n] The part of the mind that we are not normally aware of,Datamuse 조회,
10,subtitle,"[n] Textual versions of the dialogue in films (and similar media such as television or video games), usually displayed at the bottom of...; [v] To create subtitles for the dialogue in a film",Datamuse 조회,검토권장
10,transplant,"[v] To transfer (tissue or an organ) from one body to another, or from one part of a body to another; [v] To remove (something) and establish its residence in another place; to resettle or relocate",Datamuse 조회,
10,telecommute,"[v] To work from home, sometimes for part of a working day or week, using a computer connected to one's employer's network or via the...; [n] Telecommuting",Datamuse 조회,
10,adjust,[v] To modify; [v] To improve or rectify,Datamuse 조회,
10,accompany,[v] To go with or attend as a companion or associate; to keep company with; to go along with; [v] To supplement with; add to,Datamuse 조회,
10,accumulate,"[v] To gradually grow or increase in quantity or number; [v] To heap up in a mass; to pile up; to collect or bring together (either literally or figuratively), often gradually and without active...",Datamuse 조회,
10,allocate,"[v] To set aside for a purpose; [v] To distribute according to a plan, generally followed by the adposition to",Datamuse 조회,
10,affirm,"[v] To assert positively; to tell with confidence; to aver; to maintain as true; [v] To agree, verify or concur; to answer positively",Datamuse 조회,
10,prolong,[v] To lengthen in time; to extend the duration of; [v] To put off to a distant time; to postpone,Datamuse 조회,
11,preview,"[n] An advance showing of a film, exhibition etc; [n] A short collection of clips edited together to advertise a film, television show, etc.; a trailer",Datamuse 조회,
11,prehistoric,"[adj] Of or relating to the epoch before written record; [adj] Ancient; very old, outdated, etc",Datamuse 조회,검토권장
11,premature,"[adj] Taking place earlier than anticipated, prepared for, or desired; [n] An infant born prematurely",Datamuse 조회,
11,precaution,[n] Previous caution or care; caution previously employed to prevent misfortune or to secure good; [v] To warn or caution beforehand,Datamuse 조회,
11,predominant,[adj] Common or widespread; prevalent; [adj] Significant or important; dominant,Datamuse 조회,
11,predetermine,[v] To determine or decide in advance; [v] To doom by previous decree; to foredoom,Datamuse 조회,
11,foretell,[v] To predict; to tell (the future) before it occurs; to prophesy; [v] To tell (a person) of the future,Datamuse 조회,
11,foremost,"[adj] Of the highest rank or position; of the greatest importance; of the highest priority; [adj] Positioned in front of (all) others in space, most forward",Datamuse 조회,
11,foresee,[v] To perceive (a situation or event) in advance,Datamuse 조회,
11,forefather,[n] An ancestor; [n] A cultural ancestor; one who originated an idea or tradition,Datamuse 조회,
11,forecast,[n] A prediction of the weather; [v] To estimate how something will be in the future,Datamuse 조회,
11,foreshadow,"[v] To suggest (someone or something) in advance; to prefigure, to presage; [n] A suggestion of something in advance; a harbinger, a portent",Datamuse 조회,
11,overtake,"[v] To pass a slower moving object or entity (on the side closest to oncoming traffic); [v] To become greater than something else in quantity, worth, etc",Datamuse 조회,
11,overdue,"[adj] Late; especially, past a deadline or too late to fulfill a need",Datamuse 조회,
11,overhear,[v] To hear something that was not meant for one's ears,Datamuse 조회,
11,overestimate,[n] An estimate that is too high; [v] To judge or calculate too highly,Datamuse 조회,
11,overwork,[v] To work too hard; [v] To make (someone or something) work too hard,Datamuse 조회,
11,overflow,[v] To flow over the brim of (a container); [v] To flow over the brim of a container,Datamuse 조회,
11,overpopulation,"[n] An excessive number of occupants (people, animals, plants, etc.) in a particular area; specifically, when the number of occupants...",Datamuse 조회,검토권장
11,overhead,"[n] The expense of a business not directly assigned to goods or services provided; [n] Any cost or expenditure (monetary, time, effort or otherwise) incurred in a project or activity, which does not directly contribute to...",Datamuse 조회,
11,overview,"[n] A brief summary, as of a book or a presentation; [v] To engage in an overview; to provide a brief summary",Datamuse 조회,
11,oversee,"[v] To supervise, guide, review or direct the actions of a person or group; [v] To inspect, examine",Datamuse 조회,
11,surpass,[v] To go beyond or exceed (something) in an adjudicative or literal sense,Datamuse 조회,
11,surmount,[v] To get or be over without touching or resting on; to overcome; [v] To cap; to sit on top of,Datamuse 조회,
11,reaction,[n] An action or statement in response to a stimulus or other event; [n] A transformation in which one or more substances is converted into another by combination or decomposition,Datamuse 조회,
11,reform,"[v] To put into a new and improved form or condition; to restore to a former good state, or bring from bad to good; to change from worse...; [n] The change of something that is defective, broken, inefficient or otherwise negative, in order to correct or improve it",Datamuse 조회,
11,reproduce,[v] To produce again; to recreate; [v] To produce an image or copy of,Datamuse 조회,
11,renew,"[v] To make (something) new again; to restore to freshness or original condition; [v] To replace (something which has broken etc.); to replenish (something which has been exhausted), to keep up a required supply of",Datamuse 조회,
11,recite,"[v] To repeat aloud (some passage, poem or other text previously memorized, or in front of one's eyes), often before an audience; [v] To deliver a recitation",Datamuse 조회,
11,remodel,"[v] To change the appearance, layout, or furnishings of",Datamuse 조회,
11,rebuild,[v] To build again or anew; [n] A process or result of rebuilding,Datamuse 조회,
11,recreate,"[v] To enjoy or entertain oneself; [v] To give new life, energy or encouragement (to); to refresh, enliven",Datamuse 조회,
11,reunite,[v] To unite again,Datamuse 조회,
11,recollect,"[v] To recall; to collect one's thoughts again, especially about past events; [v] To compose oneself",Datamuse 조회,
11,reunion,[n] A planned event at which members of a dispersed group meet together; [n] The process or act of reuniting,Datamuse 조회,
12,compassion,[n] Deep awareness of the suffering of others that people have to the point of them being motivated to relieve such states; [n] Deep awareness of the individual experiences of suffering of others or themselves that people have to the point of them being...,Datamuse 조회,
12,compromise,[n] The settlement of differences by arbitration or by consent reached by mutual concessions; [v] To adjust and settle by mutual concessions; to compound,Datamuse 조회,
12,consequence,[n] An effect; something that follows a cause as a result; [n] An unwanted or unpleasant effect,Datamuse 조회,
12,contemporary,"[adj] From the same time period, coexistent in time; contemporaneous; [n] Someone or something belonging to the same time period (as someone or something else)",Datamuse 조회,
12,confront,"[v] To stand or meet facing, especially in competition, hostility or defiance; to come face to face with; [v] To bring someone face to face with something",Datamuse 조회,
12,conform,"[v] To adapt to something by more closely matching it, especially something normative; [v] To change to more closely match typical characteristics or behavior",Datamuse 조회,
12,correspond,"[v] To be equivalent or similar in character, quantity, quality, origin, structure, function etc; [v] To exchange messages, especially by postal letter, over a period of time",Datamuse 조회,
12,correlation,"[n] A reciprocal, parallel or complementary relationship between two or more comparable objects; [n] One of the several measures of the linear statistical relationship between two random variables, indicating both the strength and...",Datamuse 조회,
12,coexist,[v] To exist contemporaneously or in the same area,Datamuse 조회,
12,endanger,[v] To put (someone or something) in danger; to risk causing harm to,Datamuse 조회,
12,enrich,[v] To make (someone or something) rich or richer; [v] To enhance,Datamuse 조회,
12,enlarge,[v] To make (something) larger; [v] To grow larger,Datamuse 조회,
12,enlighten,[v] To make something clear to (someone); to give knowledge or understanding to; [v] To supply with light,Datamuse 조회,
12,encode,[v] To convert (plain text) into code; [v] To convert source information into another form,Datamuse 조회,
12,envision,[v] To conceive or see something within one's mind. To imagine,Datamuse 조회,
12,entrust,[v] To trust to the care of,Datamuse 조회,
12,entitle,"[v] To give a title to; [v] To give a title to a book, film, play, etc",Datamuse 조회,
12,enforce,"[v] To keep up, impose or bring into effect something, not necessarily by force; [v] To give strength or force to; to affirm, to emphasize",Datamuse 조회,
12,encompass,[v] To include within its scope; to circumscribe or go round so as to surround; to enclose; to contain; [v] To include completely; to describe fully or comprehensively,Datamuse 조회,
12,empower,"[v] To give someone more confidence and/or strength to do something, often by enabling them to increase their control over their own life...; [v] To give permission, power, or the legal right to do something",Datamuse 조회,
12,multitask,[adj] Handling or involving multiple tasks at once; [v] To handle multiple tasks at once,Datamuse 조회,
12,multicultural,"[adj] Relating or pertaining to several different cultures; [adj] Relating or pertaining to groups, households or families involving persons with different or mixed ethnicities or races",Datamuse 조회,
13,individualize,[v] To modify something to suit an individual; to personalize; [v] To give something its own individuality; to characterize or differentiate,Datamuse 조회,
13,differentiate,[v] To show or be the difference or distinction between things; [v] To recognize as different or distinct,Datamuse 조회,
13,defenseless,[adj] Lacking any form of defense; vulnerable; open to attack,Datamuse 조회,
13,tasteless,"[adj] Having no flavour; bland; insipid; [adj] Lacking delicacy, refinement, and good taste; unbecoming; crass",Datamuse 조회,
13,injurious,"[adj] Causing physical harm or injury; harmful, hurtful; [adj] Causing harm to one's reputation; invidious, defamatory, libelous, slanderous",Datamuse 조회,
13,fictional,"[adj] Invented, as opposed to real; [adj] Containing invented elements",Datamuse 조회,
13,childish,[adj] Suitable for or expected of a child; [adj] Immature in thought or behaviour,Datamuse 조회,
13,collaborative,"[adj] Of, relating to, or done by collaboration; [n] An organized group of people or entities who collaborate towards a particular goal",Datamuse 조회,
13,timely,[adj] Done at the proper time or within the proper time limits; prompt; [adj] Happening or appearing at the proper time,Datamuse 조회,
13,troublesome,[adj] Causing trouble or anxiety,Datamuse 조회,
13,worrisome,[adj] Causing worry; perturbing or vexing; [adj] Inclined to worry,Datamuse 조회,
13,observer,"[n] One who makes observations, monitors or takes notice; [n] A person sent as a representative, to a meeting or other function to monitor but not to participate",Datamuse 조회,
13,migrant,[n] Traveller or worker who moves from one region or country to another; [n] A person who leaves one place in order to permanently settle in another,Datamuse 조회,
13,revolutionary,"[adj] Of or pertaining to something that portends of great change; overthrowing a standing mindset; [adj] Of or pertaining to a revolution in government; tending to, or promoting, revolution",Datamuse 조회,
13,attendee,[n] A person who is in attendance or in the audience of an event; [n] A person who is attended,Datamuse 조회,
13,estimation,"[n] The process of making an estimate; [n] The amount, extent, position, size, or value reached in an estimate",Datamuse 조회,
13,domination,"[n] Control by means of superior ability, influence, position, or resources; prevailing force; [n] The exercise of power in ruling; sovereignty; authority; government",Datamuse 조회,
13,approximation,"[n] The act, process or result of approximating, as:; [n] An imprecise solution or result that is adequate for a defined purpose",Datamuse 조회,
13,dependence,"[n] The state of being dependent, of relying upon another; [n] An irresistible physical or psychological need, especially for a chemical substance",Datamuse 조회,
13,artistry,[n] Significant artistic skill,Datamuse 조회,
13,immediacy,"[n] The quality of being immediate, of happening right away; [n] Lack of mediation; directness",Datamuse 조회,
13,presidency,[n] The office or role of president; [n] The time during which one is president; a president's term of office,Datamuse 조회,
13,companionship,[n] The state of having or being a companion; [n] The state of being a journeyman,Datamuse 조회,
13,egocentrism,[n] The constant following of one's egotistical desires to an extreme,Datamuse 조회,
14,demoralize,[v] To destroy the morale of; to dishearten,Datamuse 조회,
14,debase,"[v] To lower in character, quality, or value; to degrade; [v] To lower the value of (a currency) by reducing the amount of valuable metal in the coins",Datamuse 조회,
14,disregard,[v] To ignore; to pay no attention to; [n] The act or state of deliberately not paying attention or caring about something,Datamuse 조회,
14,enact,[v] To make (a bill) into law; [v] To act the part of; to play,Datamuse 조회,
14,incurable,"[adj] Of an illness, condition, etc, that is unable to be cured; healless; [adj] Irremediable, incorrigible",Datamuse 조회,
14,indivisible,[adj] Incapable of being divided; atomic; [n] That which cannot be divided or split,Datamuse 조회,
14,invariable,[adj] Not variable; unalterable; uniform; always having the same value; [n] Something that does not vary; a constant,Datamuse 조회,
14,outdo,[v] To excel; go beyond in performance; surpass,Datamuse 조회,
14,outset,"[n] An onset; the beginning or initial stage of something; [v] To cause (a design element) to extend around the outside of something else, the opposite of being inset",Datamuse 조회,
14,overbearing,"[adj] Overly bossy, domineering, or arrogant; [adj] forceful, overwhelming, or excessive",Datamuse 조회,
14,override,[v] To counteract the normal operation of something; to countermand with orders of higher priority; [v] To give commands of a higher priority to an automated system; to take manual control of an automated system,Datamuse 조회,
14,overthrow,"[v] To bring about the downfall of (a government, etc.), especially by force; to usurp; [n] A removal, especially of a ruler or government, by force or threat of force; usurpation",Datamuse 조회,
14,understate,[v] To state (something) with less completeness than needed; to minimise or downplay; [v] To state a quantity that is too low,Datamuse 조회,
14,undo,[v] To reverse the effects of an action; [v] To unfasten,Datamuse 조회,
15,degrade,[v] To lower in value or social position; [v] To reduce in quality or purity,Datamuse 조회,
15,aggressive,[adj] Characterized by aggression; highly combative; prone to behave in a way that involves attacking (especially if unjustly) or arguing; [adj] That spreads quickly or extensively; virulent; malignant,Datamuse 조회,
15,regress,"[v] To move backwards to an earlier stage; to devolve; [v] To reduce in severity or size (as of a tumor), without reaching total remission",Datamuse 조회,
15,congress,"[n] A formal gathering or assembly; a conference held to discuss or decide on a specific question; [n] An association, especially one consisting of other associations or representatives of interest groups",Datamuse 조회,
15,precede,"[v] To go before, go in front of; [v] To have higher rank than (someone or something else)",Datamuse 조회,
15,recede,[v] To move back; to retreat; to withdraw; [v] To cede back; to grant or yield again to a former possessor,Datamuse 조회,
15,proceed,"[v] To move, pass, or go forward or onward; to advance; to carry on; [v] To pass from one point, topic, or stage, to another",Datamuse 조회,
15,process,[n] A series of events leading to a result or product; [n] A path or succession of states through which a system passes,Datamuse 조회,
15,predecessor,"[n] One who precedes; one who has preceded another in any state, position, office, etc.; one whom another follows or comes after, in any...; [n] A model or type of machinery or device which precedes the current (or later) one. Usually used to describe an earlier, outdated model",Datamuse 조회,
15,deceased,[adj] No longer alive; dead; [adj] Belonging to the dead,Datamuse 조회,
15,evade,"[v] To get away from by cunning; to avoid by using dexterity, subterfuge, address, or ingenuity; to cleverly escape from; [v] To escape; to slip away; — sometimes with from",Datamuse 조회,
15,convention,"[n] A practice or procedure widely observed in a group, especially to facilitate social interaction; a custom; [n] A meeting or gathering",Datamuse 조회,
15,advent,"[n] Arrival; onset; a time when something first comes or appears; the time when it is approaching; [v] To arrive or begin, especially at the first coming or appearance of something",Datamuse 조회,
15,intervene,"[v] To become involved in a situation, so as to alter or prevent an action; [v] To say (something) in the middle of a conversation or discussion between other people, or to respond to a situation involving other...",Datamuse 조회,
15,emit,"[v] To send out or give off; [v] To come out, to be sent out or given off",Datamuse 조회,
15,submit,"[v] To enter or put forward for approval, consideration, marking etc; [v] To yield or give way to another",Datamuse 조회,
15,omit,[v] To leave out or exclude; [v] To fail to perform,Datamuse 조회,
15,transmit,"[v] To communicate (news or information, especially electronically); [v] To send or convey from one person, place or thing to another",Datamuse 조회,
15,intermission,"[n] A break, especially between two performances or sessions, such as at a concert, play, seminar, or religious assembly",Datamuse 조회,
15,dismiss,[v] To discharge; to end the employment or service of; [v] To order to leave,Datamuse 조회,
15,infer,"[v] To introduce (something) as a reasoned conclusion; to conclude by reasoning or deduction, as from premises or evidence; [v] To lead to (something) as a consequence; to imply",Datamuse 조회,
15,confer,"[v] To grant as a possession; to bestow; [v] To talk together, to consult, discuss; to collogue",Datamuse 조회,
15,recur,"[v] Of an event, situation, etc.: to appear or happen again, especially repeatedly; [v] Of a memory, thought, etc.: to come to the mind again",Datamuse 조회,
16,aspect,"[n] Any specific feature, part, or element of something; [n] The way something appears when viewed from a certain direction or perspective",Datamuse 조회,
16,prospect,"[n] The potential things that may come to pass, often favorable; [n] The act of looking forward; foresight; anticipation",Datamuse 조회,
16,inspect,"[v] To examine critically or carefully; especially, to search out problems or determine condition; to scrutinize; [v] To view and examine officially",Datamuse 조회,
16,suspicious,[adj] Distrustful or tending to suspect; [adj] Arousing suspicion,Datamuse 조회,
16,speculate,[v] To make an inference based on inconclusive evidence; to surmise or conjecture; [v] To make a risky trade in the hope of making a profit; to venture or gamble,Datamuse 조회,
16,spectator,"[n] One who observes, sees, or views something; an observer; [n] One who watches an event; especially, an event held outdoors",Datamuse 조회,
16,supervise,[v] To oversee or direct a task or organization,Datamuse 조회,
16,revise,"[v] To review, alter and amend, especially of written material; [v] To look over again (something previously written or learned), especially in preparation for an examination",Datamuse 조회,
16,improvise,"[v] To make something up or invent it as one goes on; to proceed guided only by imagination, intuition, and guesswork rather than by a...",Datamuse 조회,
16,visual,[adj] Related to or affecting the vision; [n] Any element of something that depends on sight,Datamuse 조회,
16,provision,"[n] An item of goods or supplies, especially food, obtained for future use; [n] The act of providing, or making previous preparation",Datamuse 조회,
16,auditory,"[adj] Of, or relating to hearing, or to the sense or organs of hearing",Datamuse 조회,
16,audible,[adj] Able to be heard; [v] To change the play at the line of scrimmage by yelling out a new one,Datamuse 조회,
16,describe,[v] To represent in words; [v] To represent by drawing; to draw a plan of; to delineate; to trace or mark out,Datamuse 조회,
16,subscribe,"[v] To sign; to mark with one's signature as a token of consent or attestation; [v] To pay for the provision of a service, such as Internet access, a cell phone plan, or a streaming service",Datamuse 조회,
16,inscribe,"[v] To write or cut (words) onto (something, especially a hard surface, or a book to be given to another person); to engrave; [v] To dedicate to someone",Datamuse 조회,
16,transcribe,"[v] To convert a representation of language, typically speech but also sign language, etc., to a written representation of it. The term...; [v] To make such a conversion from live or recorded speech to text",Datamuse 조회,
16,autograph,"[n] A person’s own handwriting, especially the signature of a famous or admired person; [v] To sign, or write one’s name or signature on a book, etc",Datamuse 조회,
16,diagram,"[n] A plan, drawing, sketch or outline to show the function or operation of something, or to show the relationships between the parts of a...; [n] A graph or chart",Datamuse 조회,
16,multiply,"[v] To increase the amount, degree or number of (something); [v] To perform multiplication on (a number)",Datamuse 조회,
16,complicate,[v] To make complex; to modify so as to make something intricate or difficult; [v] To involve in a convoluted matter,Datamuse 조회,
16,implicit,"[adj] Suggested indirectly, without being directly expressed; [adj] Contained in the essential nature of something but not openly shown",Datamuse 조회,
16,explicit,"[adj] Very specific, clear, or detailed; [n] The final few words of a text",Datamuse 조회,
16,contradict,[v] To deny the truth or validity of (a statement or statements); [v] To oppose (a person) by denying the truth or pertinence of a given statement,Datamuse 조회,
16,dictate,[v] To speak in order for someone to write down the words; [n] An order or command,Datamuse 조회,
17,artifact,[n] An object made or shaped by human hand or labor; [n] Something viewed as a product of human agency or conception rather than an inherent element,Datamuse 조회,
17,magnificent,"[adj] Grand, elegant or splendid in appearance; [adj] Exceptional for its kind",Datamuse 조회,
17,counterfeit,"[adj] False, especially of money; intended to deceive or carry appearance of being genuine; [adj] Inauthentic",Datamuse 조회,
17,defect,[n] A fault or malfunction; [n] The quantity or amount by which anything falls short,Datamuse 조회,
17,proficient,"[adj] Good at something; skilled; fluent; practiced, especially in relation to a task or skill; [n] An expert",Datamuse 조회,
17,sacrifice,"[v] To offer (a human being or an animal, or an object) to a deity; [v] To destroy or surrender (something) for the sake of something else regarded as more urgent or valuable",Datamuse 조회,
17,manipulate,"[v] To influence, manage, direct, control or tamper with something; [v] To move, arrange or operate something using the hands",Datamuse 조회,
17,manual,[n] A booklet that instructs on the usage of a particular machine or product; [adj] Performed by a human rather than a machine,Datamuse 조회,
17,manuscript,"[n] A book, composition or any other document, written by hand (or manually typewritten), not mechanically reproduced; [n] A single, original copy of a book, article, composition etc, written by hand or even printed, submitted as original for (copy-editing...",Datamuse 조회,
17,convert,"[v] To transform or change (something) into another form, substance, state, or product; [v] To change (something) from one use, function, or purpose to another",Datamuse 조회,
17,extrovert,"[v] To turn or thrust outwards; [n] An extroverted person: one who is outgoing, sociable, and concerned with outer affairs",Datamuse 조회,
17,invert,"[v] To turn (something) upside down or inside out; to place in a contrary order or direction; [v] To move (the root note of a chord) up or down an octave, resulting in a change in pitch",Datamuse 조회,
17,diverse,"[adj] Consisting of different elements; various; [adj] Chiefly preceded by a descriptive word: of a community, organization, etc.: composed of people with a variety of different demographic...",Datamuse 조회,
17,reverse,"[adj] Opposite, contrary; going in the opposite direction; [adj] Pertaining to engines, vehicle movement etc. moving in a direction opposite to the usual direction",Datamuse 조회,
17,version,"[n] A specific form or variation of something; [n] An account or description from a particular point of view, especially as contrasted with another account",Datamuse 조회,
17,adverse,[adj] Unfavorable; antagonistic in purpose or effect; hostile; actively opposing one's interests or wishes; contrary to one's welfare...; [adj] Opposed; contrary; opposing one's interests or desire,Datamuse 조회,
17,converse,[v] To talk; to engage in conversation; [n] The opposite or reverse,Datamuse 조회,
17,confine,[v] To restrict (someone or something) to a particular scope or area; to keep in or within certain bounds; [n] A boundary or limit,Datamuse 조회,
17,definite,[adj] Free from any doubt; [adj] Determined; resolved; decided,Datamuse 조회,
17,infinite,"[adj] Boundless, endless, without end or limits; innumerable; [adj] Indefinably large, countlessly great; immense",Datamuse 조회,
17,receptive,"[adj] Ready to receive something, especially new concepts or ideas; [adj] Capable of receiving something",Datamuse 조회,
17,conceive,[v] To develop; to form in the mind; to imagine; [v] To imagine (as); to have a conception of; to form a representation of,Datamuse 조회,
17,deceive,[v] To trick or mislead,Datamuse 조회,
17,receipt,"[n] A written acknowledgment that a specified article or sum of money has been received; [n] The act of receiving, or the fact of having been received",Datamuse 조회,
17,conceit,[n] Overly high self-esteem; vain pride; hubris; [n] A novel or fanciful idea; a whim,Datamuse 조회,
17,anticipate,[v] To know of (something) before it happens; to expect; [v] To eagerly wait for (something),Datamuse 조회,
17,maintain,"[v] To keep up; to preserve; to uphold (a state, condition etc.); [v] To keep in good condition and working order",Datamuse 조회,
17,abstain,"[v] Refrain from (something or doing something); keep from doing, especially an indulgence; [v] Deliberately refrain from casting one's vote at a meeting where one is present",Datamuse 조회,
17,conserve,"[v] To save for later use, sometimes by the use of a preservative; [v] To protect an environment, heritage, etc",Datamuse 조회,
18,biology,"[n] The study of all life or living matter; [n] The structure, function, and behavior of an organism or type of organism",Datamuse 조회,
18,antibiotic,"[n] Any substance that can destroy or inhibit the growth of bacteria and similar microorganisms, generally transported by the lymphatic...; [adj] Of or relating to antibiotics",Datamuse 조회,검토권장
18,biofuel,"[n] Any fuel that is obtained from a renewable biological resource, especially from biomass",Datamuse 조회,
18,bioethics,[n] The branch of ethics that studies the implications of biological and biomedical advances,Datamuse 조회,검토권장
18,biosphere,[n] The part of the Earth and its atmosphere capable of supporting life; [n] The totality of living organisms and their environment,Datamuse 조회,
18,revive,"[v] To cause (a feeling, state of mind, etc.) to come back or return; to reactivate, to reawaken; [v] To renew (something) in one's or people's memories or minds; to bring back (something) to (public) attention; to reawaken",Datamuse 조회,
18,vivid,"[adj] Full of life; strikingly alive; [adj] Bright, intense, or colourful",Datamuse 조회,
18,genuine,"[adj] Not counterfeit, spurious, false, or adulterated; [adj] Belonging to, or proceeding from the original stock; native",Datamuse 조회,
18,gender,"[n] An Indonesian musical instrument resembling a xylophone, used in gamelan music; [n] Identification as a man, a woman, or something else, and association with a (social) role or set of behavioral and cultural traits...",Datamuse 조회,
18,generalize,[v] To infer or induce from specific cases to more general cases or principles; [v] To derive or deduce (a general concept or principle) from particular facts,Datamuse 조회,
18,generic,"[adj] Very broad; pertaining or appropriate to large classes or groups as opposed to specific instances; [adj] Lacking in precision, often in an evasive fashion; vague; imprecise",Datamuse 조회,
18,inspire,"[v] To infuse into the mind; to communicate to the spirit; to convey, as by a divine or supernatural influence; to disclose...; [v] To infuse into; to affect, as with a superior or supernatural influence; to fill with what animates, enlivens or exalts; to...",Datamuse 조회,
18,aspire,[v] To have a strong desire or ambition to achieve something,Datamuse 조회,
18,expire,[v] To lapse and become invalid; [v] To come to an end; to conclude,Datamuse 조회,
18,terrestrial,"[adj] Of, relating to, or inhabiting the land of the Earth or its inhabitants, earthly; [adj] Of, relating to, or composed of land or earth",Datamuse 조회,
18,geography,"[n] The study of the physical properties of the earth, including how humans affect and are affected by them; [n] Any subject considered in terms of its physical distribution",Datamuse 조회,
18,geometry,"[n] The branch of mathematics dealing with spatial relationships; [n] The observed or specified spatial attributes of an object, etc",Datamuse 조회,
18,astronomy,"[n] The study of the physical universe beyond the Earth's atmosphere, including the process of mapping locations and properties of the...",Datamuse 조회,
18,astrology,[n] Divination about human affairs or natural phenomena from the relative positions of celestial bodies,Datamuse 조회,
18,asteroid,"[n] A naturally occurring solid object, which is smaller than a planet and a dwarf planet, larger than a meteoroid and not a comet, that...; [n] In the Solar system, such a body that orbits within the orbit of Jupiter",Datamuse 조회,검토권장
18,anniversary,[n] A day that is an exact number of years (to the day) since a given significant event occurred. Often preceded by an ordinal number...; [n] Such a day that commemorates a wedding,Datamuse 조회,
18,millennium,"[n] A period of time consisting of one thousand years; [n] The year in which one period of one thousand years ends and another begins, especially the year 2000",Datamuse 조회,
18,chronological,"[adj] In order of time from the earliest to the latest; [adj] Relating to time, or units of time",Datamuse 조회,
18,synchronize,"[v] To cause two or more events or actions to happen at exactly the same time or same rate, or in a time-coordinated way; [v] To occur at the same time or with coordinated timing",Datamuse 조회,
19,contend,[v] To be in opposition; to contest; to dispute; to vie; to quarrel; to fight; [v] To be in debate; to engage in discussion; to dispute; to argue,Datamuse 조회,
19,intense,"[adj] Of a characteristic: extreme or very high or strong in degree; severe; also, excessive, towering; [adj] Of feelings, thoughts, etc.: strongly focused; ardent, deep, earnest, passionate",Datamuse 조회,
19,abstract,"[n] An abridgement or summary of a longer publication; [n] Something that concentrates in itself the qualities of a larger item, or multiple items",Datamuse 조회,
19,extract,"[n] A portion of a book or document, incorporated distinctly in another work; a citation; a quotation; [n] A decoction, solution, or infusion made by drawing out from any substance that which gives it its essential and characteristic virtue",Datamuse 조회,
19,subtract,[v] To remove or reduce; especially to reduce a quantity or number,Datamuse 조회,
19,enclose,"[v] To surround with a wall, fence, etc; [v] To insert into a container, usually an envelope or package",Datamuse 조회,
19,exclude,[v] To bar (someone or something) from entering; to keep out; [v] To omit from consideration,Datamuse 조회,
19,induce,"[v] To cause, bring about, lead to; [v] To lead by persuasion or influence; incite or prevail upon",Datamuse 조회,
19,conduce,[v] To contribute or lead to a specific result,Datamuse 조회,
19,subdue,"[v] To overcome, quieten, or bring under control; [v] To bring (a country) under control by force",Datamuse 조회,
19,repress,[v] To check; to keep back; [v] To forcefully prevent an upheaval from developing further,Datamuse 조회,
19,suppress,"[v] To put an end to, especially with force, to crush, do away with; to prohibit, subdue; [v] To restrain or repress, such as laughter or an expression",Datamuse 조회,
19,compress,"[v] To make smaller; to press or squeeze together, or to make something occupy a smaller space or volume; [v] To condense into a more economic, easier format",Datamuse 조회,
19,oppress,[v] To keep down by unjust force; [v] To make sad or gloomy,Datamuse 조회,
19,dispose,[v] To eliminate or to get rid of something; [v] To distribute or arrange; to put in place,Datamuse 조회,
19,impose,"[v] To apply, enforce, or establish (something, often regarded as burdensome as a restriction or tax: see verb, sense 1.2.1) with authority; [v] To encroach or intrude, especially in a manner regarded as unfair or unwarranted; to presume, to take advantage of; also, to be a...",Datamuse 조회,
19,component,"[n] A smaller, self-contained part of a larger entity. Often refers to a manufactured object that is part of a larger device; [adj] Making up a larger whole",Datamuse 조회,
19,proponent,[n] One who supports something; an advocate; [n] One who makes a proposal or proposition,Datamuse 조회,
19,dispel,"[v] To remove (fears, doubts, objections etc.) by proving them unjustified; [v] To drive away or cause to vanish by scattering",Datamuse 조회,
19,expel,[v] To eject; [v] To remove from membership,Datamuse 조회,
19,impel,"[v] To drive forward; to propel an object, to provide an impetus for motion or action; [v] To urge a person; to press on; to incite to action or motion via intrinsic motivation",Datamuse 조회,
19,repel,"[v] To drive back (an assailant, advancing force etc.); [v] To ward off (a malignant influence, attack etc.)",Datamuse 조회,
19,propel,[v] To provide an impetus for motion or physical action; to cause to move in a certain direction; to drive or push forward; [v] To provide an impetus for nonphysical change; to cause to arrive to a certain situation or result,Datamuse 조회,
19,impulse,"[n] A wish or urge, particularly a sudden one prompting action; [n] A thrust; a push; a sudden force that impels",Datamuse 조회,
19,impending,[adj] Approaching; drawing near; about to happen or expected to happen; [n] Something that impends or threatens; an expected event,Datamuse 조회,
19,append,"[v] To add, as an accessory to the principal thing; to annex; [v] To hang or attach to, as by a string, so that the thing is suspended",Datamuse 조회,
19,suspend,"[v] To halt something temporarily; [v] To discontinue or interrupt a function, task, position, or event",Datamuse 조회,
